round_epochs,val_loss,loss,dropout_1,dropout_2,epochs,first_n,second_n
114,28.6829343523298,26.539214524646734,0,401,200,200,0
34,40.63281559804181,695.5413113792471,0,101,200,50,0
52,46.9805236338636,16.813262068985292,0,401,400,200,0.1
44,27.33173068022308,27.249162891567153,0,101,400,200,0
100,16.01952928666266,81.36525188676463,0.11,101,200,100,0
23,27131.300089438602,68471.61149853189,0,101,200,200,0.1
34,172.01642735550314,57.91784627005558,0,401,400,50,0
49,134.4786675858171,96.88169778913459,0.11,201,100,50,0.1
59,65.9112811004579,124.06931366376429,0.11,201,400,200,0.1
35,68.97064945049249,72.18865975757573,0.11,401,100,100,0.1
50,101.59457724434989,245.5643644396891,0.11,401,200,50,0.1
50,45.6154726032175,103.5905273232684,0.11,201,100,50,0
100,13.920861703309061,41.1454932705668,0.11,401,200,100,0
50,21.228708095513213,21.225664714838835,0,201,200,50,0
56,33.514378131485735,117.22461173038354,0.11,101,200,200,0.1
50,59.77560917505313,23.252583599730627,0,401,100,50,0.1
50,71.34279314552501,47.62344055687821,0,201,400,50,0.1
50,2755.092749548985,13237.540176698825,0,401,200,50,0.1
50,93.13585476212772,19.18904036963546,0,101,100,50,0.1
100,72.42582937042773,852.7995261377936,0.11,201,100,100,0
139,18.75551359620813,20.79495231577214,0,401,100,200,0
61,26.9567641838656,29.044399197469623,0,101,100,100,0
58,37.21609781492946,238.7658249003775,0.11,101,400,200,0.1
50,22.245824806377613,29.32185437375267,0,101,400,50,0.1
45,94.07625538029083,94.50108265716757,0,201,100,50,0
50,2676879.953522505,1655221.601240939,0.11,101,400,50,0
74,26.027086892473253,259.79229121880246,0.11,101,100,200,0
122,83.59405156264333,80.6947348165832,0,401,400,200,0
68,7869.3664049122435,7841.802449271183,0.11,101,400,200,0
60,93.49308007943887,86.47490000884805,0.11,401,400,200,0.1
61,22.52651437434665,21.32550786165583,0,201,400,100,0.1
100,19.004257280532627,19.40746801491552,0,201,400,100,0
66,24.58569650967294,24.492048148340828,0,201,100,200,0
100,44.04336978591352,50.493237540225856,0,401,400,100,0
120,18.95327160456409,25.590701698456833,0,101,400,200,0.1
44,107.78516546200866,69.5161657909419,0.11,401,100,200,0.1
50,91.13408868420147,537.6139505885592,0.11,401,400,50,0.1
92,38.95763638341497,324.2417930244599,0.11,401,400,100,0
124,16.14481099944292,53.26242981981111,0.11,401,400,200,0
37,37.36973911442169,48.542713242089185,0.11,401,200,100,0.1
29,105.81311057551733,776.2623034483635,0.11,201,400,100,0
100,209.0668873348348,185.38921089940422,0,201,200,100,0
50,152.94721757922386,871.6439610423657,0.11,101,200,50,0
76,15.730998918268313,16.08987943918113,0,101,200,200,0
43,86.25371573909155,34.72086600489264,0,101,100,200,0.1
62,48.24120487578928,22.92985885415301,0,401,200,200,0.1
31,96.32972148439889,138.4395580163738,0.11,201,400,100,0.1
80,71.14133504132235,295.93328550197936,0.11,201,100,200,0.1
40,51.50564982793102,22.706032420164785,0,401,200,100,0.1
100,20.08652439229409,20.99894485217613,0,401,200,100,0
96,14.756721007613987,48.10302299141084,0.11,401,100,200,0
47,44.29829862859618,59.310617946138315,0.11,401,200,200,0.1
52,195.8590737359631,424.3098982228529,0,101,200,100,0.1
51,84.91037632294596,183.837272490431,0.11,101,200,100,0.1
